what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984873709
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984880635
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984881091
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984883928
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984888630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984892085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984894668
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984899828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984905579
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984912309
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984939144
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984945635
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318984962934
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318984975844
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318984981742
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985020293
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318985021508
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985021869
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985021935
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985029457
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985030917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985031784
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985038803
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985086204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985096617
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985097009
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985102268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985108774
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985112355
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985132014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985141085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985141542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985143956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985148581
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318985155903
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985160045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985160905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985162918
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985173547
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985193211
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985193996
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985198876
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985246244
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985250506
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985296868
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985298370
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318985300934
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985301250
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985301414
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318985302336
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985302639
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985302712
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985304090
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985310610
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318985316669
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318985333558
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985340611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985341800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985355405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985356207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985358100
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985360553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985373811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985403575
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985411792
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985412449
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985418024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985465704
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985474301
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985474670
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318985485731
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985487987
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985494497
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985508540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985513010
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985525443
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318985594774
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985597166
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985598076
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985598077
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318985599304
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985599623
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985599697
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318985606249
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318985612795
