Taxon	B1.3.A	B1.3.Ce	B1.3.DC	B1.3.IL	B1.3.MC	B1.3.PC	B4.2.A	B4.2.Ce	B4.2.DC	B4.2.MC	B4.2.PC	B5.3.A	B5.3.Ce	B5.3.DC	B5.3.IL	B5.3.MC	B5.3.PC
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Enterorhabdus	0.0	0.0	0.0	0.00033411293017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Other	0.00318979266348	0.00173812282735	0.0	0.00167056465085	0.0017873100983	0.00166770898478	0.0	0.00462962962963	0.000991080277502	0.0	0.0	0.0	0.00342075256556	0.0	0.00236406619385	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.00717703349282	0.0110081112399	0.0104302477184	0.0	0.00983020554066	0.0095893266625	0.00683371298405	0.0138888888889	0.00297324083251	0.00783289817232	0.00815217391304	0.00220588235294	0.00684150513113	0.00292226767972	0.0	0.00698757763975	0.00198807157058
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.018341307815	0.018539976825	0.0208604954368	0.0290678249248	0.0151921358356	0.0125078173859	0.00797266514806	0.0555555555556	0.0237859266601	0.0130548302872	0.0054347826087	0.0102941176471	0.0136830102623	0.021040327294	0.0189125295508	0.0217391304348	0.013916500994
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella	0.03668261563	0.0359212050985	0.0717079530639	0.043100567992	0.0536193029491	0.0441942880967	0.00370159453303	0.0	0.0495540138751	0.0443864229765	0.0122282608696	0.0139705882353	0.0171037628278	0.0479251899474	0.0208037825059	0.0481366459627	0.0208747514911
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas	0.00558213716108	0.00289687137891	0.00391134289439	0.0	0.00536193029491	0.00625390869293	0.00512528473804	0.00462962962963	0.0218037661051	0.0156657963446	0.00271739130435	0.00147058823529	0.00228050171038	0.000584453535944	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Other	0.16985645933	0.177867902665	0.306388526728	0.242231874374	0.337801608579	0.232228476131	0.222380410023	0.212962962963	0.411298315164	0.42819843342	0.23097826087	0.134558823529	0.142531356899	0.381648158971	0.145626477541	0.27251552795	0.188866799205
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0.00797448165869	0.00695249130939	0.0117340286832	0.0	0.00983020554066	0.0097977902856	0.00996583143508	0.00925925925926	0.00792864222002	0.00522193211488	0.00407608695652	0.00514705882353	0.00228050171038	0.00175336060783	0.0	0.00232919254658	0.00198807157058
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	0.0127591706539	0.00405561993048	0.013037809648	0.0	0.00983020554066	0.00333541796956	0.00484054669704	0.00462962962963	0.000991080277502	0.00522193211488	0.0054347826087	0.0	0.00114025085519	0.00292226767972	0.0	0.00310559006211	0.000994035785288
Bacteria;Bacteroidetes;Other;Other;Other;Other	0.0	0.0	0.0	0.000668225860341	0.0	0.000208463623098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	0.000797448165869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000991080277502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.110845295056	0.154692931634	0.367666232073	0.590711660541	0.377122430742	0.254742547425	0.0999430523918	0.087962962963	0.276511397423	0.211488250653	0.160326086957	0.0838235294118	0.14937286203	0.414377556984	0.778250591017	0.49301242236	0.228628230616
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Other	0.00159489633174	0.00173812282735	0.0	0.00300701637153	0.0017873100983	0.00291849072337	0.000854214123007	0.0	0.00297324083251	0.0	0.0	0.00220588235294	0.00456100342075	0.00175336060783	0.00661938534279	0.00310559006211	0.00994035785288
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other	0.00558213716108	0.0098493626883	0.00521512385919	0.00768459739392	0.00714924039321	0.00646237231603	0.00484054669704	0.00462962962963	0.00495540138751	0.00783289817232	0.00951086956522	0.00882352941176	0.00912200684151	0.00642898889538	0.00141843971631	0.0100931677019	0.00695825049702
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.0	0.0	0.0	0.00133645172068	0.0	0.00208463623098	0.00142369020501	0.0	0.000991080277502	0.0	0.00135869565217	0.000735294117647	0.0	0.000584453535944	0.00141843971631	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Other	0.000797448165869	0.0	0.0	0.0	0.0	0.0	0.0	0.00462962962963	0.0	0.0	0.0	0.0	0.0	0.000584453535944	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium	0.000797448165869	0.0	0.0013037809648	0.00033411293017	0.00268096514745	0.00187617260788	0.00341685649203	0.00462962962963	0.000991080277502	0.00783289817232	0.0	0.00147058823529	0.00114025085519	0.00175336060783	0.0	0.00232919254658	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIII;Anaerovorax	0.000797448165869	0.00231749710313	0.0	0.0	0.0	0.00166770898478	0.000569476082005	0.0	0.0	0.00261096605744	0.00135869565217	0.0	0.0	0.000584453535944	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIII;Other	0.0	0.0	0.0	0.0	0.0	0.000208463623098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIV;Blautia	0.00159489633174	0.0	0.0013037809648	0.0	0.0	0.00187617260788	0.0	0.0	0.000991080277502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000994035785288
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0.00797448165869	0.00579374275782	0.00391134289439	0.0056799198129	0.0017873100983	0.00291849072337	0.00455580865604	0.0138888888889	0.000991080277502	0.00261096605744	0.0054347826087	0.0110294117647	0.00342075256556	0.000584453535944	0.00189125295508	0.00310559006211	0.00497017892644
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella	0.000797448165869	0.000579374275782	0.0	0.00033411293017	0.0	0.000208463623098	0.0	0.0	0.0	0.0	0.0	0.000735294117647	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia	0.000797448165869	0.00115874855156	0.0	0.00100233879051	0.0	0.0	0.000569476082005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Other	0.283891547049	0.25955967555	0.0404172099087	0.0260608085533	0.0518319928508	0.16489472587	0.321753986333	0.25462962963	0.0644202180377	0.10182767624	0.213315217391	0.288970588235	0.254275940707	0.0280537697253	0.00425531914894	0.0419254658385	0.203777335984
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella	0.011961722488	0.0098493626883	0.00391134289439	0.0	0.0017873100983	0.0148009172399	0.00455580865604	0.0138888888889	0.00297324083251	0.0	0.00135869565217	0.0102941176471	0.00456100342075	0.00175336060783	0.0	0.0	0.00596421471173
Bacteria;Firmicutes;Clostridia;Clostridiales;Other;Other	0.219298245614	0.202780996524	0.0743155149935	0.00835282325426	0.0616621983914	0.140504481968	0.205865603645	0.194444444444	0.0683845391477	0.0913838120104	0.236413043478	0.322794117647	0.309007981756	0.0572764465225	0.00189125295508	0.0621118012422	0.24055666004
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0.0	0.0	0.0	0.0	0.0	0.000208463623098	0.0	0.0	0.0	0.0	0.00135869565217	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Lactonifactor	0.000797448165869	0.00115874855156	0.0	0.0	0.0	0.000625390869293	0.00227790432802	0.0	0.000991080277502	0.0	0.0	0.000735294117647	0.0	0.0	0.0	0.000776397515528	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	0.0255183413078	0.026651216686	0.0013037809648	0.0	0.0017873100983	0.0137585991245	0.0116742596811	0.037037037037	0.000991080277502	0.00783289817232	0.0163043478261	0.0227941176471	0.0148232611174	0.00116890707189	0.0	0.000776397515528	0.0188866799205
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Other	0.0422647527911	0.0446118192352	0.00521512385919	0.0	0.011617515639	0.0304356889723	0.0418564920273	0.0601851851852	0.01585728444	0.0130548302872	0.0597826086957	0.0632352941176	0.0410490307868	0.00759789596727	0.000472813238771	0.0100931677019	0.0318091451292
