Taxon	B1.4.A	B1.4.Ce	B1.4.DC	B1.4.IL	B1.4.MC	B1.4.PC	B2.3.A	B2.3.Ce	B2.3.DC	B2.3.IL	B2.3.MC	B2.3.PC	B3.2.A	B3.2.Ce	B3.2.DC	B3.2.IL	B3.2.MC	B3.2.PC
Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4;Other;Other	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus	0.0	0.0	0.0	0.00180701120347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other;Other	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Actinomycetospora	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00154479917611	0.000915750915751	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000851788756388
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Asaccharobacter	0.0	0.0	0.0	0.00216841344416	0.0	0.0	0.0	0.0	0.000403225806452	0.000512032770097	0.0	0.0	0.00072202166065	0.0	0.0	0.000707213578501	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Enterorhabdus	0.0	0.0	0.000344115622849	0.0	0.0	0.0	0.0	0.0	0.0	0.00153609831029	0.0	0.0	0.0	0.0	0.0	0.000707213578501	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Other	0.0	0.000625782227785	0.000344115622849	0.0	0.000448430493274	0.000755001887505	0.0	0.0	0.000806451612903	0.00102406554019	0.0	0.000754527162978	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.00461133069829	0.0106382978723	0.00516173434274	0.00144560896278	0.0134529147982	0.0147225368063	0.0214634146341	0.00436408977556	0.0120967741935	0.0	0.0160409556314	0.0246478873239	0.00216606498195	0.00360453141092	0.0100732600733	0.001414427157	0.00178890876565	0.00170357751278
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.00131752305665	0.00469336670839	0.00344115622849	0.0	0.00403587443946	0.00641751604379	0.000975609756098	0.00187032418953	0.00362903225806	0.000512032770097	0.00409556313993	0.00301810865191	0.00072202166065	0.0010298661174	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella	0.0270092226614	0.0331664580726	0.0681348933242	0.00108420672208	0.0645739910314	0.0834277085693	0.0146341463415	0.0199501246883	0.0616935483871	0.00716845878136	0.0354948805461	0.045523138833	0.00216606498195	0.0149330587024	0.0201465201465	0.00777934936351	0.0107334525939	0.00170357751278
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas	0.0	0.00281602002503	0.00344115622849	0.000722804481388	0.00493273542601	0.00188750471876	0.00487804878049	0.00498753117207	0.00282258064516	0.0	0.00204778156997	0.0077967806841	0.0	0.00154479917611	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Other	0.20882740448	0.207759699625	0.360977288369	0.0227683411637	0.3	0.310305775764	0.259512195122	0.261845386534	0.391129032258	0.0532514080901	0.388054607509	0.407193158954	0.0685920577617	0.114830072091	0.130952380952	0.112446958982	0.159212880143	0.0136286201022
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0.00856389986825	0.00344180225282	0.0020646937371	0.00108420672208	0.00538116591928	0.00377500943752	0.0126829268293	0.00561097256858	0.00604838709677	0.0	0.00921501706485	0.0153420523139	0.00361010830325	0.00205973223481	0.00274725274725	0.0	0.00178890876565	0.00255536626917
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	0.00131752305665	0.00344180225282	0.000688231245699	0.0	0.00269058295964	0.00302000755002	0.000975609756098	0.00311720698254	0.00161290322581	0.0	0.0061433447099	0.00452716297787	0.00072202166065	0.000514933058702	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00153609831029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00153609831029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Myroides	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Other	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.00460829493088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.000377500943752	0.0	0.0	0.000403225806452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Ferruginibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102406554019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Other	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Terrimonas	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Dyadobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00204813108039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Hymenobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102406554019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexi;Other;Other;Other;Other	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexi;Thermomicrobia;Other;Other;Other	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplast;Streptophyta;Other	0.0	0.0	0.0	0.00939645825804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000851788756388
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0.0	0.0	0.0	0.000361402240694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.134387351779	0.139549436796	0.467997247075	0.794000722804	0.447085201794	0.407323518309	0.0926829268293	0.148379052369	0.307258064516	0.697388632873	0.237542662116	0.289738430584	0.13285198556	0.160659114315	0.607142857143	0.609618104668	0.429338103757	0.201022146508
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Other	0.000658761528327	0.00281602002503	0.0013764624914	0.0	0.000896860986547	0.00151000377501	0.000975609756098	0.00249376558603	0.000403225806452	0.0	0.00102389078498	0.0010060362173	0.00216606498195	0.0	0.00274725274725	0.001414427157	0.00715563506261	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other	0.00592885375494	0.00657071339174	0.00412938747419	0.00361402240694	0.00896860986547	0.00302000755002	0.00487804878049	0.0118453865337	0.00766129032258	0.000512032770097	0.00784982935154	0.00301810865191	0.00938628158845	0.00823892893924	0.00641025641026	0.00565770862801	0.0125223613596	0.0119250425894
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	0.0	0.0	0.0	0.000361402240694	0.000448430493274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.0	0.0	0.0	0.00144560896278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.0	0.000938673341677	0.000344115622849	0.00433682688833	0.0	0.00113250283126	0.00390243902439	0.00249376558603	0.000806451612903	0.00153609831029	0.00238907849829	0.00301810865191	0.00072202166065	0.00411946446962	0.0	0.0332390381895	0.00178890876565	0.000851788756388
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0.00263504611331	0.00531914893617	0.0013764624914	0.00144560896278	0.000896860986547	0.000755001887505	0.00585365853659	0.00935162094763	0.0	0.0	0.00102389078498	0.00150905432596	0.00649819494585	0.00463439752832	0.000915750915751	0.001414427157	0.00178890876565	0.00170357751278
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00072202166065	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Other	0.281291172596	0.277534418023	0.0302821748107	0.0589085652331	0.0614349775785	0.0702151755379	0.23512195122	0.23566084788	0.0370967741935	0.0102406554019	0.0972696245734	0.0379778672032	0.403610108303	0.33728115345	0.102564102564	0.0643564356436	0.182468694097	0.372231686542
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella	0.00395256916996	0.00219023779725	0.0	0.00108420672208	0.000448430493274	0.0	0.00975609756098	0.0074812967581	0.000806451612903	0.0	0.00102389078498	0.000754527162978	0.0173285198556	0.0164778578785	0.00457875457875	0.00636492220651	0.00715563506261	0.00851788756388
Bacteria;Firmicutes;Clostridia;Clostridiales;Other;Other	0.237812911726	0.211514392991	0.0216792842395	0.0383086375136	0.0502242152466	0.0520951302378	0.254634146341	0.211970074813	0.058064516129	0.0117767537122	0.10409556314	0.057847082495	0.234657039711	0.210607621009	0.0448717948718	0.0685997171146	0.109123434705	0.292163543441
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Other	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Sporacetigenium	0.0	0.0	0.0	0.00180701120347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00205973223481	0.000915750915751	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetanaerobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000915750915751	0.0	0.0	0.0
