Taxon	C2.3.A	C2.3.Ce	C2.3.DC	C2.3.IL	C2.3.MC	C2.3.PC	C3.2.A	C3.2.Ce	C3.2.DC	C3.2.IL	C3.2.MC	C3.2.PC
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.000729927007299	0.0	0.0	0.0	0.0	0.0	0.0	0.000157703832203	0.00042735042735	0.000898472596586	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Other	0.0	0.0	0.000735294117647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Asaccharobacter	0.0	0.0	0.000735294117647	0.000672494956288	0.0	0.000735294117647	0.000216216216216	0.000315407664406	0.000854700854701	0.00718778077269	0.000830564784053	0.00192884697814
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Other	0.0	0.0	0.0	0.0	0.00058651026393	0.0	0.000648648648649	0.000315407664406	0.0	0.000299490865529	0.0	0.000214316330904
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.0182481751825	0.0014064697609	0.00661764705882	0.0	0.0258064516129	0.00367647058824	0.00389189189189	0.00205014981864	0.0235042735043	0.0	0.00705980066445	0.00128589798543
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.0	0.0	0.00220588235294	0.0	0.00058651026393	0.0	0.00281081081081	0.00236555748305	0.0	0.0	0.00872093023256	0.00150021431633
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella	0.0	0.0	0.0183823529412	0.0	0.0	0.0	0.000648648648649	0.00236555748305	0.00042735042735	0.0	0.0124584717608	0.00578654093442
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.00237837837838	0.000473111496609	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Other	0.0	0.0	0.280882352941	0.000672494956288	0.0	0.0	0.0577297297297	0.0375335120643	0.0	0.0	0.207225913621	0.0420060008573
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0.0167883211679	0.00187529301453	0.00514705882353	0.0	0.0211143695015	0.000735294117647	0.00583783783784	0.00189244598644	0.0141025641026	0.0	0.00373754152824	0.00150021431633
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	0.0	0.0	0.000735294117647	0.0	0.0	0.0	0.000432432432432	0.0	0.0	0.0	0.000415282392027	0.0
Bacteria;Bacteroidetes;Other;Other;Other;Other	0.0	0.0	0.00147058823529	0.0	0.0	0.0	0.000216216216216	0.000157703832203	0.0	0.0	0.0	0.0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	0.0021897810219	0.0	0.0	0.0	0.0	0.00147058823529	0.000648648648649	0.0	0.000854700854701	0.0	0.0	0.000428632661809
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0.0036496350365	0.00656352555087	0.0889705882353	0.0161398789509	0.0744868035191	0.00588235294118	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.0941605839416	0.112048757618	0.299264705882	0.791526563551	0.556011730205	0.249264705882	0.101621621622	0.131367292225	0.634615384615	0.809823300389	0.522840531561	0.247963994856
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Other	0.000729927007299	0.0	0.000735294117647	0.0	0.0	0.00147058823529	0.000216216216216	0.000630815328812	0.00042735042735	0.00179694519317	0.000830564784053	0.00150021431633
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other	0.0029197080292	0.0084388185654	0.0147058823529	0.00235373234701	0.0258064516129	0.0125	0.00756756756757	0.012458602744	0.00299145299145	0.0155735250075	0.00830564784053	0.0165023574796
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.0	0.0	0.0	0.00100874243443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Other;Other;Other	0.0	0.000937646507267	0.0161764705882	0.000672494956288	0.0105571847507	0.00147058823529	0.0	0.000630815328812	0.0	0.00149745432764	0.000415282392027	0.000214316330904
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.000729927007299	0.0	0.00220588235294	0.00268997982515	0.00058651026393	0.00147058823529	0.00172972972973	0.000788519161016	0.0025641025641	0.000898472596586	0.00415282392027	0.00192884697814
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0.0189781021898	0.0145335208626	0.00147058823529	0.0	0.00293255131965	0.00441176470588	0.00908108108108	0.00567733795931	0.0034188034188	0.0020964360587	0.00290697674419	0.00364337762538
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella	0.0021897810219	0.00750117205813	0.00220588235294	0.00134498991258	0.00175953079179	0.000735294117647	0.00648648648649	0.0111969720864	0.0025641025641	0.0	0.000830564784053	0.00557222460351
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia	0.0	0.0	0.0	0.0	0.0	0.0	0.000216216216216	0.00126163065762	0.0	0.0	0.0	0.000214316330904
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Other	0.418248175182	0.450070323488	0.0948529411765	0.051445864156	0.100879765396	0.3375	0.420108108108	0.43163538874	0.114102564103	0.0173704702007	0.0859634551495	0.329832833262
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella	0.0321167883212	0.0304735114862	0.00367647058824	0.00403496973773	0.00645161290323	0.0294117647059	0.0261621621622	0.0285443936288	0.0034188034188	0.00329439952081	0.00373754152824	0.0255036433776
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	0.0036496350365	0.00890764181903	0.0	0.0	0.00058651026393	0.00808823529412	0.000432432432432	0.000157703832203	0.0	0.0	0.0	0.000214316330904
Bacteria;Firmicutes;Clostridia;Clostridiales;Other;Other	0.302919708029	0.289263947492	0.0625	0.049092131809	0.066862170088	0.261029411765	0.277405405405	0.246806497398	0.0918803418803	0.0236597783768	0.0726744186047	0.236605229318
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Sporacetigenium	0.000729927007299	0.0028129395218	0.00220588235294	0.0265635507734	0.00821114369501	0.00220588235294	0.00108108108108	0.00220785365084	0.0128205128205	0.0197663971249	0.00332225913621	0.00235747963995
