ID_REF	IDENTIFIER	GSM88918	GSM88914	GSM88919	GSM88915	GSM88917	GSM88913	GSM88916	GSM88912
b1391_at	paaD	442.6	486.6	nan	324.9	nan	320.8	219.9	nan
IG_2146_3437147_3437252_rev_at	/start=3437147 /end=3437252 /direction=+ /description=intergenic region	nan	nan	43.7	50.1	nan	nan	nan	26.5
yrfG_b3399_at	yrfG	3238.9	3820.3	1893.1	1532.4	1589.4	1855.4	929.8	1160.1
yrbI_b3198_at	yrbI	2608.8	2499.4	1497	1249	1512	1506.3	854.8	1296.7
pqiA_b0950_at	pqiA	757.9	nan	nan	471.4	530.3	415.1	277.2	272.2
ycdF_b1005_at	b1005	53153.4	70526.3	8685.6	6154.8	18439.1	7649.7	1802.6	2062.8
yciW_b1287_at	yciW	1596.8	1064.1	617.8	526.7	243.2	311.9	117.4	164.7
IG_415_642550_642629_fwd_at	/start=642550 /end=642629 /direction=+ /description=intergenic region	2212.9	1795.1	1112.6	942.6	614.2	753.4	402.6	535.2
IG_1799_2886336_2886409_rev_f_at	/start=2886336 /end=2886409 /direction=+ /description=intergenic region	3243	2467.5	1136.8	1109.9	688.9	870.9	513.3	457.1
IG_1591_2539274_2539698_rev_at	cysW	3317.9	1338.6	683.6	500.5	466.8	584.4	184.4	164.1
b2512_at	yfgL	4837.1	3793.8	3072.6	2096.9	1961	1900	1108.7	1200.3
cysP_b2425_at	cysP	4046.7	3526.5	2016.1	1310.4	1126.1	1057.9	559.2	536.8
yciG_b1259_at	yciG	12928.2	12335.4	3816.9	2505.3	3262.6	1997.1	1347	1234.4
IG_1404_2224400_2228643_fwd_at	/start=2224400 /end=2228643 /direction=+ /description=intergenic region	336.2	344.3	287	301.9	193.1	227.5	157.6	167.9
nrdH_b2673_at	nrdH	2403.3	2312.6	950.4	884.4	620.4	853.3	169.1	236.5
IG_1748_2798497_2798743_fwd_at	/start=2798497 /end=2798743 /direction=+ /description=intergenic region	201.4	264	158.3	179	101.3	122.8	47.7	84.3
leuX_b4270_at	leuX	441.4	481.2	345.4	384.5	206.9	250.6	114.5	182.7
yeeY_b2015_at	yeeY	1085.4	1096.3	963.9	1038	609.7	704.2	343.9	507.5
IG_2858_4602407_4605371_fwd_at	yjjZ	807.7	880.4	757.4	564.4	256.9	341.8	142.8	230.6
yjfI_b4181_at	yjfI	nan	157.1	133.1	137.7	74.8	103	62.4	70.3
ydbP_b1390_at	paaC	674.4	793	437.4	495.1	246	358	245.1	195.9
IG_857_1360493_1360766_fwd_at	/start=1360493 /end=1360766 /direction=+ /description=intergenic region	361	302.4	180.5	239.5	96.8	154.9	94.6	75.6
IG_762_1216220_1216508_fwd_at	/start=1216220 /end=1216508 /direction=+ /description=intergenic region	342.1	356.8	224.3	264.1	69.1	127.5	74.4	75.4
cvpA_b2313_at	cvpA	480.2	587.4	409.6	427.1	289.7	285.5	182.8	271.5
IG_1995_3210494_3210687_fwd_at	/start=3210494 /end=3210687 /direction=+ /description=intergenic region	2467.4	2934	2351.1	2106.4	1448.3	1478.3	980.7	1400
IG_984_1570070_1570430_rev_at	/start=1570070 /end=1570430 /direction=+ /description=intergenic region	nan	119.3	58.7	73.9	49.6	36.8	20.4	59.7
b2449_at	yffR	769.7	579	819.7	640.8	483.3	389.6	395.8	348
yohF_b2137_at	yohF	1554.6	1101.8	1409.9	1013.7	725.8	582.7	540.1	489.8
artP_b0864_at	artP	6277	4043.7	5157.9	4043	3121.5	2194.8	2484.9	2318.1
b2295_at	yfbV	1265.7	1032.3	1547.7	1140.1	861.9	745.7	587	674.9
